"Отметка времени","Keel/Language/Язык","Teie sugu","Teie vanus (aastad)","30 sekindit ajaintervall","1 minut ajaintervall","1 minut ja 30 sekindit ajaintervall","2 minutit ajaintervall","Sex","Age (years)","30 seconds time interval","1 minute time interval","1 minute and 30 seconds time interval","2 minutes time interval","Ваш пол","Ваш возраст (полных лет)","Интервал в 30 секунд","Интервал в 1 минуту","Интервал в 1 минуту и 30 секунд","Интервал в 2 минуты"
"2020/12/10 9:48:24 AM GMT+2","Русский","","","","","","","","","","","","","Мужчина","22","35","59","86","127"
"2020/12/10 10:00:20 AM GMT+2","Русский","","","","","","","","","","","","","Мужчина","23","34","48","1,02","01,38"
"2020/12/10 2:05:21 PM GMT+2","English","","","","","","","Male","19","0:36","0:49","1:06","1:43","","","","","",""
"2020/12/10 5:01:15 PM GMT+2","Русский","","","","","","","","","","","","","Мужчина","23","35","65","97","137"
"2020/12/10 5:48:03 PM GMT+2","Русский","","","","","","","","","","","","","Мужчина","20","28","58","01:27","02:02"
"2020/12/10 10:55:36 PM GMT+2","Русский","","","","","","","","","","","","","Женщина","49","10 сек","22 сек","50 сек","60 сек"
"2020/12/10 10:56:14 PM GMT+2","Русский","","","","","","","","","","","","","Женщина","45","16","33","43","91"
"2020/12/10 11:01:43 PM GMT+2","Русский","","","","","","","","","","","","","Женщина","22","32","58","87","118"
"2020/12/10 11:02:21 PM GMT+2","Русский","","","","","","","","","","","","","Женщина","20","0.31.31","0.57.96","1.31.84","2.04.70"
"2020/12/10 11:14:27 PM GMT+2","Eesti","Naine","20","29.31","1:00.18","1:32.04","1:49.37","","","","","","","","","","","",""
"2020/12/10 11:22:14 PM GMT+2","Русский","","","","","","","","","","","","","Женщина","45","04","12","21","33"
"2020/12/10 11:25:58 PM GMT+2","Русский","","","","","","","","","","","","","Женщина","15","34 секунды","47 секунд","58 секунд","2.34 "
"2020/12/10 11:35:44 PM GMT+2","Русский","","","","","","","","","","","","","Женщина","24","47","53","1:22","1:39"
"2020/12/10 11:42:07 PM GMT+2","Русский","","","","","","","","","","","","","Мужчина","19","28.66","57","1.23","1.50"
"2020/12/10 11:50:44 PM GMT+2","Русский","","","","","","","","","","","","","Мужчина","16","33s","1min","1min 44s","2min 6s"
"2020/12/10 11:53:24 PM GMT+2","Русский","","","","","","","","","","","","","Женщина","15","30 секунд ","35 секунд ","1 минута ","1 минута 25 секунд "
"2020/12/11 7:31:39 AM GMT+2","Русский","","","","","","","","","","","","","Женщина","44","25","1 min 02","1.19","2.18"
"2020/12/11 7:55:22 AM GMT+2","Русский","","","","","","","","","","","","","Мужчина","21","0:39","0:59 ","1:21","2:00"
"2020/12/11 9:12:55 AM GMT+2","Eesti","Naine","20","27 sekundit","1 minut 3 sekundit","1 minut 35 sekundit","2 minutit 21 sekundit","","","","","","","","","","","",""
"2020/12/11 9:15:45 AM GMT+2","Русский","","","","","","","","","","","","","Женщина","45","36","70","92","117"
"2020/12/11 9:20:14 AM GMT+2","Русский","","","","","","","","","","","","","Женщина","21","37","1 м 12 с","1м 21 с","1 м 54 с"
"2020/12/11 9:41:07 AM GMT+2","Eesti","Mees","21","29","58","87","116","","","","","","","","","","","",""
"2020/12/11 10:26:34 AM GMT+2","Русский","","","","","","","","","","","","","Женщина","44","00:25","00:59","1:35","1:25"
"2020/12/11 11:02:08 AM GMT+2","Русский","","","","","","","","","","","","","Женщина","44","33","1,14","1,27","1,47"
"2020/12/11 12:22:57 PM GMT+2","Русский","","","","","","","","","","","","","Женщина","21 секунда ","20 секунд","47 секунд ","1 минута и 10","2 минуты "
"2020/12/11 12:26:07 PM GMT+2","Русский","","","","","","","","","","","","","Мужчина","23","31","58","110","128"
"2020/12/11 12:39:25 PM GMT+2","Русский","","","","","","","","","","","","","Женщина","23","48 секунд","1 минута 2 секунды","1 минута 6 секунд","1 минута 34 секунды"
"2020/12/11 1:19:16 PM GMT+2","Русский","","","","","","","","","","","","","Мужчина","28","45","1:22","1:40","2:08"
"2020/12/11 2:03:00 PM GMT+2","Русский","","","","","","","","","","","","","Женщина","20","0:29","1:00","1:37","2:00"
"2020/12/11 5:48:53 PM GMT+2","Русский","","","","","","","","","","","","","Мужчина","48","40"," 1 мин 2 сек","1 мин 40 сек","2 мин 20 сек"
"2020/12/11 5:56:46 PM GMT+2","Русский","","","","","","","","","","","","","Женщина","83","19 сек","20 сек","20 сек","28 сек"
"2020/12/11 7:11:29 PM GMT+2","Русский","","","","","","","","","","","","","Женщина","43","31","56с","1 мин 27сек","1мин 30сек"
"2020/12/11 7:44:03 PM GMT+2","Eesti","Naine","55","-2 sek","+4 sek","-12 sek","-16 sek","","","","","","","","","","","",""
"2020/12/11 7:51:51 PM GMT+2","Русский","","","","","","","","","","","","","Женщина","42","34","65","78","112"
"2020/12/11 10:17:47 PM GMT+2","Русский","","","","","","","","","","","","","Женщина","17","00:30.75","01:03.23","01:33.69","02:03.22"
"2020/12/12 12:25:25 AM GMT+2","Русский","","","","","","","","","","","","","Женщина","20","28","1.06","1.32","2.14"
"2020/12/12 12:46:14 AM GMT+2","Русский","","","","","","","","","","","","","Женщина","60","18","30","41","1,10"
"2020/12/12 12:46:25 AM GMT+2","Русский","","","","","","","","","","","","","Женщина","45","25","53","1,25","2"
"2020/12/12 1:42:17 AM GMT+2","Русский","","","","","","","","","","","","","Мужчина","16","30.32","1.00.04","1.30.32","2.03.04"
"2020/12/12 8:53:12 AM GMT+2","Русский","","","","","","","","","","","","","Женщина","33","31 секунда","59 секунд","1 минута 33 секунды","2 минуты 2 секунды"
"2020/12/12 11:59:43 AM GMT+2","Русский","","","","","","","","","","","","","Женщина","64","3о","60","90","120"
"2020/12/12 6:03:26 PM GMT+2","Русский","","","","","","","","","","","","","Мужчина","21","29.53","59.10","1.19.23","2.05.82"
"2020/12/12 6:32:13 PM GMT+2","Русский","","","","","","","","","","","","","Женщина","47","15.77","587","1 мин 38 сек","1 мин 58 сек"
"2020/12/12 6:35:24 PM GMT+2","Русский","","","","","","","","","","","","","Мужчина","27","17","1.06","1.28","2.28"
"2020/12/12 6:46:08 PM GMT+2","Русский","","","","","","","","","","","","","Мужчина","50","30,24","1,03","1.32.81","2.06.10"
"2020/12/12 7:15:40 PM GMT+2","Русский","","","","","","","","","","","","","Женщина","22","31 секунда","1 минута 7 секунд","1 минута 46 секунд","1 минута 55 секунд"
"2020/12/13 1:19:02 AM GMT+2","Eesti","Naine","21","38","62","63","87","","","","","","","","","","","",""
"2020/12/13 6:24:20 AM GMT+2","Русский","","","","","","","","","","","","","Женщина","45","30","1мин 17 сек","1 мин 40 сек","2 мин 10 сек"
"2020/12/14 12:15:51 PM GMT+2","Русский","","","","","","","","","","","","","Мужчина","43","27","56","1'19''","1'42''"
"2020/12/14 8:44:26 PM GMT+2","Русский","","","","","","","","","","","","","Женщина","16","36.6","56.4","1.27.8","1.57.2"
"2020/12/15 2:11:05 AM GMT+2","English","","","","","","","Female","22","00:41.50","01:01.59","01:30.44","01:58.61","","","","","",""
"2020/12/15 12:40:58 PM GMT+2","Русский","","","","","","","","","","","","","Женщина","25","31","56","1 минута 3 секунды","1 минута 31 секунда "
"2020/12/16 4:44:56 PM GMT+2","Русский","","","","","","","","","","","","","Женщина","47","23","50","1,46","2,24"
"2020/12/16 4:51:31 PM GMT+2","Русский","","","","","","","","","","","","","Женщина","17","27","48","1.12 ","1.39"
"2020/12/16 4:55:24 PM GMT+2","Русский","","","","","","","","","","","","","Женщина","14","30","1","1.30","2"
"2020/12/16 5:02:30 PM GMT+2","Eesti","Naine","17 aastat","29 sekundit","1 minut ja 8 sekundit","1 minut 28 sekundit","2 minutit","","","","","","","","","","","",""
"2020/12/16 5:33:45 PM GMT+2","Русский","","","","","","","","","","","","","Женщина","18","25","40","1 мин","1.47"
"2020/12/16 5:47:41 PM GMT+2","Русский","","","","","","","","","","","","","Женщина","21","24,58","32,88","1,06","1,22"
"2020/12/17 9:51:19 AM GMT+2","Русский","","","","","","","","","","","","","Женщина","24","35","48","1.26","1.58"
"2020/12/17 2:25:10 PM GMT+2","Русский","","","","","","","","","","","","","Женщина","40","15","32","49","83"
"2020/12/17 8:51:07 PM GMT+2","Eesti","Mees","17","20,76","47,41","1,18,45","1,27,68","","","","","","","","","","","",""